Estonian;English;Progress
////Section:1;Hello!;0
ema, ema, ema;mother
magama minema, magama min/na, lähe/n magama;to go to sleep
muusik, muusiku, muusikut;musician
mõni/kord;sometimes
pesema, pes/ta, pese/n;to wash, to clean, to brush
poes käima, poes käi/a, käi/n poes;to go shopping
pood, poe, poodi;shop
pop/staar, pop/staari, pop/staari;pop-star
raadio , raadio, raadiot;radio
raadiot kuulama, raadiot kuula/ta, kuula/n raadiot;to listen to the radio
solaarium , solaariumi, solaariumi;solarium
solaariumis käima, solaariumis käi/a, käi/n solaariumis;to go to the solarium
takso, takso, taksot;taxi
taksoga;by taxi
tavaline, tavalise, tavalist;typical, ordinary, usual
telefoniga rääkima, telefoniga rääki/da,räägi/n telefoniga;to speak on the phone
tööle minema, tööle min/na, lähe/n tööle;to go to work
umbes;about, around, approximately
vann, vanni, vanni;bath
vannis;in the bath
vannis käima, vannis käi/a, käi/n vannis;to have a bath, to take a bath
ärkama, ärga/ta, ärka/n;to wake up
öösel;at night
öösiti;at nights
üle/päeviti;every other day
üles tõusma, üles tõus/ta, tõuse/n üles;to get up
aeg, aja, aega;time
esmas/päeval;on Monday
jooksma , joos/ta, jookse/n;to jog, to run
jooksmas käima, jooksmas käi/a, käi/n jooksmas;to go jogging
Kahju!;What a shame!
Kas sul oleks aega?;Would you have time?
kolma/päeval;on Wednesday
Madis, Madise, Madist;Madis (male name)
mõnel õhtul;some evening
nelja/päeval;on Thursday
rattaga sõitma, rattaga sõit/a, sõida/n rattaga;to cycle
reedeti;on Fridays
sel nädalal;this week
teisi/päeval;on Tuesday
algama, ala/ta, alga/b;to start, to begin
arvatavasti;probably
helistan uuesti;I will call again
imelik, imeliku, imelikku;strange, weird
koos/olek , koos/oleku, koos/olekut;meeting
koos/olekul;in a meeting
lõppema, lõppe/da, lõpe/b (lõppe/b);to finish, to end
nõu/pidamine, nõu/pidamise, nõu/pidamist;meeting
paluma, palu/da, palu/n;to ask for, to ask, to beg
teisi/päeviti;on Tuesdays
uuesti;again
vastu/võtu/aeg, vastu/võtu/aja,vastu/võtu/aega;open day (lit reception time)
Ivi, Ivi, Ivit;Ivi (female name)
Kas oled valmis?;Are you ready?
Kohe-kohe.;Soon-soon.
Lähme!;Let's go!
Ma teen selle valmis.;I'll finish this.
oota palun;please wait
sööma minema, sööma min/na, lähe/n sööma;to go to eat, to go to get some food
valmis olema, valmis ol/la, ole/n valmis;to be ready
valmis tegema, valmis teh/a, tee/n valmis;to finish, to complete something
esmas/päeviti;on Mondays
iga , iga, iga;every
iga nädal;every week
ime , ime, imet;miracle
jõu/saal , jõu/saali, jõu/saali;gym
jõu/saalis käima, jõu/saalis käi/a, käi/n jõu/saalis;to go to the gym
keele/kursus , keele/kursuse, keele/kursust;language course
keele/kursusel käima, keele/kursusel käi/a, käi/n keele/kursusel;to take a language course
kinno;to the cinema
kolma/päeviti;on Wednesdays
kontserdile;to the concert
kontsert, kontserdi, kontserti;concert
pikk, pika, pikka;long
Pole ka ime!;I'm not surprised! (lit It's not a miracle!)
töö/päev, töö/päeva, töö/päeva;working day
ujuma , uju/da, uju/n;to swim
ujumas käima, ujumas käi/a, käi/n ujumas;to go swimming
väsinud;tired
Õudne!;How awful!
Ära mine tööle!;Take a day off! (lit Don't go to work!)
////Section:7;Do you like ...?;0
Aleksei, Aleksei, Alekseid;Aleksei (male name)
arvutiga mängima, arvutiga mängi/da, mängi/n arvutiga;to play on the computer
jalutama, jaluta/da, jaluta/n;to walk, to take walks
Jana, Jana, Janat;Jana (female name)
joonistama, joonista/da, joonista/n;to draw
Katerina, Katerina, Katerinat;Katerina (female name)
Katja, Katja, Katjat;Katja (female name)
korv/pall , korv/palli, korv/palli;basketball
korv/palli mängima, korv/palli mängi/da, mängi/n korvpalli;to play basketball
laulma, laul/da, laula/n;to sing
Liidia, Liidia, Liidiat;Liidia (female name)
meeldima, meeldi/da, meeldi/b;to like
mulle meeldib;I like
muusikat kuulama, muusikat kuula/ta, kuula/n muusikat;to listen to music
palju sõnu;lots of words
Sergei, Sergei, Sergeid;Sergei (male name)
Serjoža, Serjoža, Serjožat;Serjoža (male name)
süüa tege/ma, süüa teh/a, tee/n süüa;to cook food
Tamara, Tamara, Tamarat;Tamara (female name)
televiisor , televiisori, televiisorit;TV
televiisorit vaatama, televiisorit vaada/ta,vaata/n televiisorit;to watch TV
öelge;say, tell (plural imperative)
ütlema, ütel/da (öel/da), ütle/n;to say
ekskursioon , ekskursiooni, ekskursiooni;excursion
jalg/rattaga sõitma, jalg/rattaga sõit/a,sõida/n jalg/rattaga;to ride a bicycle
koos teiega;with you (plural)
maalima, maali/da, maali/n;to paint
matkama, matka/ta, matka/n;to hike
Matkata ma küll ei viitsi.;I really can't be bothered to hike.
me läheme;we go
minema, min/na, lähe/n;to go
Mul on ükskõik;For me it's all the sameI don't really careDoesn't matter
mulle küll ei meeldi;I really don't like
mulle meeldiks;I would like to
muuseum , muuseumi, muuseumi;museum
muuseumis käima, muuseumis käi/a, käi/n muuseumis;to go to museums
nojaa;well, ok
otsustama, otsusta/da, otsusta/n;to decide
pildistama, pildista/da, pildista/n;to take photos
puhkama, puha/ta, puhka/n;to rest
päevitama, päevita/da, päevita/n;to sunbathe
raamatut lugema, raamatut luge/da, loe/n raamatut;to read a book
rand, ranna, randa;beach
rannas;on the beach
ratas, ratta, ratast;bike, bicycle, wheel
saame otsustada;we can decide
sellel ekskursioonil;on this excursion
teha meeldiks;would like to do
viitsima, viitsi/da, viitsi/n;to be bothered
üldse;at all, ever, after all
üsna;quite
ilusasti;nicely
klaver , klaveri, klaverit;piano
klaverit mängima, klaverit mängi/da, mängi/n klaverit;to play piano
luuletus , luuletuse, luuletust;poem
luuletusi kirjutama, luuletusi kirjuta/da, kirjuta/n luuletusi;to write poetry
Meeli, Meeli, Meelit;Meeli (female name)
poole/aastane, poole/aastase, poole/aastast;half a year old
tantsima, tantsi/da, tantsi/n;to dance
üle kõige;most of all
Kust mina tean?;How would I know?
küsima, küsi/da, küsi/n;to ask
Ma tõesti ei tea.;I really don't know.
Oskar, Oskari, Oskarit;Oskar (male name)
restorani minna;to go to a restaurant
rull/uisk, rull/uisu, rull/uisku;rollerskate
rull/uiskudega sõitma, rull/uiskudega sõit/a, sõida/n rull/uiskudega;to rollerskate
võib-olla ta tahaks;maybe she/he would like
autot remontima, autot remonti/da,remondi/n autot;to fix the car
jube kahju;What a pity!
Koristada võid homme.;You can tidy up tomorrow.
Ma pean koristama.;I must tidy up.
remontima, remonti/da, remondi/n;to fix, to repair
Ähh!;Ehh!
hakkama, haka/ta, hakka/n;to start, to begin
hakkan süüa tegema;I will cook food
nõusid pesema, nõusid pes/ta, pese/n nõusid;to wash dishes
pean töötama;I must work
tita, tita, titat;baby
ehitama, ehita/da, ehita/n;to build
Head uut aastat!;Happy New Year!
Issand!;Oh my God!
Kas tõesti?;Really?
Ma armastan sind.;I love you.
maja ehitama, maja ehita/da, ehita/n maja;to build a house
nii/kui/nii;anyway
oi-oi;oi-oi
reisima, reisi/da, reisi/n;to travel
Sa ei pea midagi tegema.;You don't need to do anything.
sel aastal;this year
sest;because
vähem;less
õlut jooma, õlut juu/a, joo/n õlut;to drink beer
Ei midagi erilist.;Nothing special.
inimene, inimese, inimest;person, human being, man
inimestega suhtlema, inimestega suhel/da,suhtle/n inimestega;to communicate with people
Ja mida veel?;And what else?
keetma, keet/a, keeda/n;to boil
kohvi keetma, kohvi keet/a, keeda/n kohvi;to prepare coffee
Mida sa tegema pead?;What do you have to do?
suhtlema, suhel/da, suhtle/n;to communicate
telefon , telefoni, telefoni;phone
Üldiselt küll, jah.;In general, yes.
aja/kiri, aja/kirja, aja/kirja;magazine
eesti keeles;in Estonian language
eesti/keelne, eesti/keelse, eesti/keelset;in Estonian language
harjutus, harjutuse, harjutust;exercise, task
hääl, hääle, häält;voice
idee, idee, ideed;idea
iga päev;every day
internet, interneti, internetti;internet
internetis;on the internet
julgelt;boldly
kartma, kart/a, karda/n;to be afraid
kirjutage;write (plural imperative)
korraga;at a time, at once, altogether
kui võimalik;if possible
kuidas te saaksite;how you could
kuulake;listen (plural imperative)
laul , laulu, laulu;song
lugege;read (plural imperative)
Mida veel võiks teha?;What else could be done?
Mis te arvate?;What do you think?
multi/film, multi/filmi, multi/filmi;cartoon
pange seinale;put on the wall (plural imperative)
poes;in the shop
pool tundi;half an hour
rohkem kui;more than
rääkige;speak (plural imperative)
sedel , sedeli, sedelit;piece of paper, label
sedelitele;on pieces of paper
sein, seina, seina;wall
soovitus, soovituse, soovitust;suggestion
suhelge;communicate (plural imperative)
tekst, teksti, teksti;text
vaadake;look, watch (plural imperative)
valju;loud
valju häälega;aloud
viga, vea, viga;mistake, error
vigu tegema, vigu teh/a, teen vigu;to make mistakes
vihik , vihiku, vihikut;exercise book
viis uut sõna;five new words
võimalik;possible
õppige;study (plural imperative)
ärge kartke;don't be afraid
aitama, aida/ta, aita/n;to help
kaasa tulema, kaasa tul/la, tule/n kaasa;to go with
Kadri, Kadri, Kadrit;Kadri (female name)
kartuli/salat, kartuli/salati, kartuli/salatit;potato salad
kogu aeg;all the time
kui teil on;if you have
kõik koos;together
mingi mure;some kind of problem
multikas, multika, multikat;cartoon (slang)
mure, mure, muret;problem, worry
Nii kaua!;For so long!
Olge siis head lapsed!;Be good (children)!
praadige;fry (plural imperative)
praadima, praadi/da, prae/n;to fry
töö/reis, töö/reisi, töö/reisi;business trip
õu, õue, õue;yard, outside
alustama, alusta/da, alusta/n;to start, to begin
hilinema, hiline/da, hiline/n;to be late
hingake rahulikult;breathe slowly (plural imperative)
hingama, hinga/ta, hinga/n;to breathe slowly
istuge sinna;sit there (plural imperative)
jooga , jooga, joogat;yoga
jooga/õpetaja, jooga/õpetaja, jooga/õpetajat;yoga teacher
kinni panema, kinni pan/na, pane/n kinni;to close
naeratage;smile (plural imperative)
naeratama, naerata/da, naerata/n;to smile
otse;straight
pange silmad kinni;close your eyes (plural imperative)
paremale;to the right
rahulikult;slowly, peacefully
silm, silma, silma;eye
unustage oma mured;forget your problems (plural imperative)
unustama, unusta/da, unusta/n;to forget
vaadake otse;look straight (plural imperative)
vaadake paremale;look to the right (plural imperative)
vaadake vasakule;look to the left (plural imperative)
Vabandage, et ma hilinesin!;Sorry, I'm late!
vasakule;to the left
////Section:8;Let's go shopping!;0
kümnest;from ten
lahti;open
lau/päeviti;on Saturdays
meeste joped;men's jackets
neljani;till four
spordi/pood, spordi/poe, spordi/poodi;sportswear shop
suve/riided, suve/riiete, suve/riideid;summer clothes
õhuke(ne), õhukese, õhukest;thin
juures;by, near, close to, at
kleit, kleidi, kleiti;dress
pidulik, piduliku, pidulikku;formal, festive
proovi/kabiin, proovi/kabiini, proovi/kabiini;fitting room
seal/pool;over there
soe, sooja, sooja;warm
välja/pääs, välja/pääsu, välja/pääsu;exit
avatud;open
kaheksani;till eight
korrus, korruse, korrust;floor, storey
Kuidas ma saan sinna?;How do I get there?
lift, lifti, lifti;elevator
lähen liftiga;I'll take the elevator
meeste/riiete poed;men's clothes shops
minge trepist;go up the stairs
Mis kellani?;Until what time?
sinna;there
sisse/käik, sisse/käigu,sisse/käiku;entrance
trepp, trepi, treppi;stairs
vasakul pool;on the left
Kas ma saan teid aidata?;Can I help you?
kassa, kassa, kassat;till, pay-office
lähme kassasse;let's go to the till
Mis värvi?;What colour?
müts, mütsi, mütsi;hat
proovima, proovi/da, proovi/n;to try
talve/jope, talve/jope, talve/jopet;winter jacket
täpiline, täpilise, täpilist;spotted, spotty
värviline, värvilise, värvilist;colourful
enam-vähem;more or less
iga/päevane, iga/päevase, iga/päevast;for everyday use
kandma, kand/a, kanna/n;to wear
kergesti;easily
kostüüm, kostüümi, kostüümi;women's suit
naiste kleidid;women's dresses
ringi vaatama, ringi vaada/ta, vaata/n ringi;to look around
samas toonis;of the same colour
toon, tooni, tooni;shade, colouring
ühe/värviline, ühe/värvilise, ühe/värvilist;monochrome
kortsuma, kortsu/da, kortsu/b;to crease, to wrinkle
materjal, materjali, materjali;material
Mis numbrit te kannate?;What number do you wear?
paras, paraja, parajat;fit, suitable, of the right size
üli/kond, üli/konna, üli/konda;suit
kampsun, kampsuni, kampsunit;sweater
Kas teil suuremat ei ole?;Don't you have a bigger one?
Kas teil tšekk on alles?;Do you have the receit?
kitsas, kitsa, kitsast;tight, close-fitting, narrow
lai, laia, laia;wide, loose-fitting
natuke(ne), natukese, natukest;a little
ostsin;I bought
pintsak, pintsaku, pintsakut;blazer
tooma, tuu/a, too/n;to bring
vahetama, vaheta/da, vaheta/n;to change, to exchange, to switch
veel laiemat;more wider
Kas teil lühemat ei ole?;Don't you have anything shorter?
Kuidas sobib?;How does it fit?
lühike(ne), lühikese, lühikest;short
mood, moe, moodi;fashion
mudel, mudeli, mudelit;version
on moes;is fashionable, is in
tagasi/hoidlik, tagasi/hoidliku,tagasi/hoidlikku;discreet
tagasi/hoidlikumat;more discreet
triibuline, triibulise, triibulist;stripy
tume , tumeda, tumedat;dark
tumedamat;more darker
värv , värvi, värvi;colour
esmas/päeva hommikuks;by Monday morning
hinna/kiri, hinna/kirja, hinna/kirja;price list
Kas te saaksite ...?;Could you…?
katki;broken
lukk, luku, lukku;zipper
Lukk on katki.;The zipper is broken.
Mis neil viga on?;What's the matter with them?
püksid, pükste, pükse;trousers
Saan ikka.;Yes, I can.
valmis;ready
eelmisel nädalal;last week
homseks;by tomorrow
Kas see on valmis?;Is it ready?
kindlasti;for sure
kolma/päevaks;by Wednesday
mantel, mantli, mantlit;overcoat
puhastus, puhastuse, puhastust;cleaners
siin on kirjas;it's written here
jõudma, jõud/a, jõua/n;to manage, to make
käib küll;it's OK
nii/kaua;in the meantime, so long, meanwhile
poole tunni pärast;in half an hour
seelik, seeliku, seelikut;skirt
viie minuti pärast kolm;five minutes to three
võiks veel lühem olla;could be even shorter
kole, koleda, koledat;terrible, ugly, awful
Mis plekk see on?;What kind of stain is it?
Mis päevaks see valmis saab?;By what day will it be ready?
Mis päevaks?;By what day?
plekk, pleki, plekki;stain
pluus, pluusi, pluusi;blouse
probleem, probleemi, probleemi;problem
puhastama, puhasta/da, puhasta/n;to clean
raske, raske, rasket;difficult, hard
reedeks;by Friday
sulgema, sulge/da, sulge/n;to close
tegelikult;actually, as a matter of fact
Varem ei jõua.;Can't make it earlier.
veini/plekk, veini/pleki,veini/plekki;wine stain
veri, vere, verd;blood
viis minutit kuus läbi;five minutes past six
////Section:9;What a sunny day!;0
ilm, ilma, ilma;weather
ilma/teadustaja, ilma/teadustaja, ilma/teadustajat;weather forecaster
kraad, kraadi, kraadi;degree
kuni;to, up to, until
meeter, meetri, meetrit;meter
meetrit sekundis;meters per second
nõrgenema, nõrgene/da, nõrgene/b;to weaken
pilves;cloudy
pluss, plussi, plussi;plus
puhuma, puhu/da, puhu/b;to blow
põhja/tuul, põhja/tuule, põhja/tuult;northern wind
sekund, sekundi, sekundit;second
tuul, tuule, tuult;wind
veidi;a little
õhu/temperatuur, õhu/temperatuuri, õhu/temperatuuri;temperature
Ettevaatust!;Warning! Be careful! Attention!
kohati;in places
libe, libeda, libedat;slippery
lumi, lume, lund;snow
lääne/tuul, lääne/tuule, lääne/tuult;western wind
saar, saare, saart;island
saartel;on the islands
sadama, sada/da, saja/b;to rain, to fall
sajab lund;it's snowing
tuiskama, tuisa/ta, tuiska/b;to whirl, to have a blizzard
kagu/tuul, kagu/tuule, kagu/tuult;southeastern wind
langema, lange/da, lange/b;to fall
lõuna/tuul, lõuna/tuule, lõuna/tuult;southern wind
oht, ohu, ohtu;risk, danger
päikese/paisteline, päikese/paistelise, päikese/paistelist;sunny
püsima, püsi/da, püsi/b;to stay
selge, selge, selget;clear, cloudless
sooja on …;the (plus) temperature is…
temperatuur, temperatuuri, temperatuuri;temperature
öö/külm, öö/külma, öö/külma;night frost
öö/külma oht;possibility of night frost
esinema, esine/da, esine/n;to occur
hoo/vihm, hoo/vihma, hoo/vihma;shower
Lõuna-Eesti, Lõuna-Eesti, Lõuna-Eestit;southern Estonia
mets, metsa, metsa;forest
metsades;in forests
Põhja-Eesti, Põhja-Eesti, Põhja-Eestit;northern Estonia
päeval;during the day
sadu, saju, sadu;rain, downfall
tugev, tugeva, tugevat;heavy, strong
tule/oht, tule/ohu, tule/ohtu;risk of fire
tõusma, tõus/ta, tõuse/n;to rise
Tähele/panu!;Attention!
vahelduva pilvisusega;partly cloudy
äike(ne), äik(e)se, äikest;thunderstorm
elu, elu, elu;life
emme, emme, emmet;mummy
ennast pesema, ennast pes/ta, pese/n ennast;to wash oneself
esimest korda;for the first time
jõin;I drank
järv, järve, järve;lake
kaste, kastme, kastet;sauce, gravy
kord, korra, korda;turn, time
laager, laagri, laagrit;camp
lahe, laheda, lahedat;cool, nice
lõke, lõkke, lõket;bonfire
lõket tegema, lõket teh/a, tee/n lõket;to build a bonfire, to have a bonfire
nägime;we saw
Oh, kui tore!;Oh, how great!
oli;was
pesin;I washed
saun, sauna, sauna;sauna
sõime;we ate
sõite;you (plural) ate
tee peal;on the road
tegime;we did
tegite;you(plural) did
tulime;we came
unine, unise, unist;sleepy
äärest;from the lake
haigeks jääma, haigeks jää/da, jää/n haigeks;to fall ill
hästi ilus;very beautiful
jäi haigeks;fell ill
jälle;again
kolleeg, kolleegi, kolleegi;colleague
kurk, kurgu, kurku;throat
külm, külma, külma;cold
külma saama, külma saa/da, saa/n külma;to catch cold
lõpuks;finally, eventually
läksime;we went
oli see vast alles reis;that was quite a trip
olid;you were
olime;we were
Ossa!;Wow!
pilte tegema, pilte teh/a, tee/n pilte;to take photos
reis, reisi, reisi;trip
sain külma;I caught cold
see kaks nädalat;these two weeks
Tahad juua?;Would you like to drink?
tegin pilte;I took photographs
tegin teed;I made tea
troopiline, troopilise, troopilist;tropical
tuuline, tuulise, tuulist;windy
tõin;I brought
täpsemalt;exactly
valus;sore, painful
õhtuti;in the evenings
üldiselt;in general
… on jalas;to have on (one's foot)
ise/asi;another thing
Miks nii lühike?;Why so short?
minu meelest;in my opinion, to my mind
Mis sul seljas on?;What are you wearing?
moes;fashionable
muidu;otherwise
muretsema, muretse/da, muretse/n;to worry
retuusid;leggings
dressi/püksid;sweatpants
Hea mõte!;Good idea!
igaks juhuks;just in case
jalga panema, jalga pan/na, pane/n jalga;to put on (on the foot)
kaasa võtma, kaasa võt/ta, võta/n kaasa;to take with oneself
kalale minema, kalale min/na, lähe/n kalale;to go fishing
kindad;gloves
kui;if, when, how, than, as
kui külm hakkab;if it gets cold
kummikud;wellingtons
kätte panema, kätte pan/na, pane/n kätte;to put on (the hand)
Lähme kalale!;Let's go fishing!
Mis ma selga pean panema?;What should I put on?
mõte, mõtte, mõtet;idea, thought
paat, paadi, paati;boat
pähe panema, pähe pan/na, pane/n pähe;to put on (the head)
selga panema, selga pan/na, pane/n selga;to put on (the back)
teksad;jeans
tossud;sneakers, running shoes
tuule/kindel, tuule/kindla, tuule/kindlat;windproof
Mis ma selga panen?;What shall I wear?
Pane midagi ilusamat!;Put something nicer on!
Pole vist vaja jah.;Probably don't need to.
ehted;jewellery
firma, firma, firmat;company, enterprise
jõulu/pidu, jõulu/peo, jõulu/pidu;Christmas party
kaela panema, kaela pan/na, pane/n kaela;to put on (the neck)
mingi, mingi, mingit;some, a kind of
Mis sa ajad!;Come on!
Mul pole midagi selga panna.;I don't have anything to wear.
on aega;there's still time
ongi väga ilus;it'll be really pretty
See oleks küll tore!;That would be great!
šoppama, šopa/ta, šoppa/n;to go shopping
valima, vali/da, vali/n;to choose, to pick
////Section:10;My home;0
aken, akna, akent;window
all;under
Joonas, Joonase, Joonast;Joonas (male name)
kapp, kapi, kappi;cupboard
keskel;in the middle of
kohal;above
laud, laua, lauda;table
mööbel, mööbli, mööblit;furniture
Pagan!;Damn!
peal;on, on top of
peegel, peegli, peeglit;mirror
riiul, riiuli, riiulit;shelf
taburet, tabureti, taburetti;stool
toa/naaber, toa/naabri, toa/naabrit;room-mate
tool, tooli, tooli;chair
tuba, toa, tuba;room
voodi, voodi, voodit;bed
ääres;by, near
ühiselamu, ühiselamu, ühiselamut;dormitory
algus, alguse, algust;beginning
alguses;in the beginning
Isver!;Gosh!
kardin, kardina, kardinat;curtain
katkema, katke/da, katke/b;to be cut off
kõne, kõne, kõnet;call, speech
nagi, nagi, nagi;clothe's rack
Ole tubli!;Take care!
Ongi kõik.;That's it.
paar;a couple
pole vaja;don't need, no need
riide/puu, riide/puu, riide/puud;coathanger
sees;in, inside
uks, ukse, ust;door
Vahet pole!;Doesn't matter!
vaja olema, vaja ol/la, on vaja;to be needed
föön, fööni, fööni;hair dryer
kelder, keldri, keldrit;basement
kodu/masin, kodu/masina, kodu/masinat;kitchen equipment
kohvi/masin, kohvi/masina, kohvi/masinat;coffee machine
köök, köögi, kööki;kitchen
laenama, laena/ta, laena/n;to borrow
mikro/laine/ahi, mikro/laine/ahju, mikro/laine/ahju;microwave
mikser, mikseri, mikserit;mixer
nurk, nurga, nurka;corner
nõude/pesu/masin, nõude/pesu/masina, nõude/pesu/masinat;dishwasher
pesu/masin, pesu/masina, pesu/masinat;washing machine
pliit, pliidi, pliiti;cooking stove, cooking range
põrand, põranda, põrandat;floor
röster, rösteri, rösterit;toaster
sahtel, sahtli, sahtlit;drawer
tolmu/imeja, tolmu/imeja, tolmu/imejat;vacuum cleaner
triik/raud, triik/raua, triik/rauda;iron
vaip, vaiba, vaipa;carpet
vee/keetja, vee/keetja, vee/keetjat;kettle
aed, aia, aeda;garden
ahi/küte, ahi/kütte, ahi/kütet;heating by stoves
ehitus/aasta, ehitus/aasta, ehitus/aastat;the year of building
garaaž, garaaži, garaaži;garage
kalli/võitu;a little too expensive
kamin, kamina, kaminat;fire-place
kasvu/hoone, kasvu/hoone, kasvu/hoonet;greenhouse
otsima, otsi/da, otsi/n;to search, to look for
päris heas korras;in quite good condition
renoveerima, renoveeri/da, renoveeri/n;not renovated
renoveeritud;renovated
ruut/meeter, ruut/meetri, ruut/meetrit;square meter
spaa, spaa, spaad;spa
Toila, Toila, Toilat;Toila
vald, valla, valda;parish, commune
üld/pind, üld/pinna, üld/pinda;overall area
aasta tagasi;a year ago
Hehee!;Hah! Yeah, right!
Ja ongi jube lahe!;It’s really cool!
jube;terrible, awful
kaabel/televisioon, kaabel/televisiooni, kaabel/televisiooni;cable TV
kahe/toaline, kahe/toalise, kahe/toalist;two-room(ed)
kesk/küte, kesk/kütte, kesk/kütet;central heating
koos;together, with
korter, korteri, korterit;apartment
kõigi mugavustega;with everything incuded
Mis siis!;So what!
Mitmendal?;On which (floor)?
mugavus, mugavuse, mugavust;comfort
möbleeritud;furnished
remontimata;not renovated, in need of renovation
vanni/tuba, vanni/toa, vanni/tuba;bathroom
WC, WC, WC-d;WC
viiendal;on the fifth
värvima, värvi/da, värvi/n;to paint, to dye
üürile andma, üürile and/a, anna/n üürile;to rent, to hire out
alati;always
bussi/peatus, bussi/peatuse, bussi/peatust;bus stop
elu/tuba, elu/toa, elu/tuba;livin-groom
kabinet, kabineti, kabinetti;study, office
klaasist;made of glass
kokku on;altogether there is
kommunaal/kulud;utilities
kristall , kristalli, kristalli;crystal
kristallist;made of crystal
lahti tegema, lahti teh/a, tee/n lahti;to open
linna/osa, linna/osa, linna/osa;part of the city, neighbourhood
lukustatud;locked
lähedal;close by, close
magamis/tuba, magamis/toa,magamis/tuba;bedroom
mängu/väljak, mängu/väljaku, mängu/väljakut;playground
plast/mass, plast/massi, plast/massi;plastic
plast/massist;made of plastic
sisse minema, sisse min/na, lähe/n sisse;to go in
trepi/koda, trepi/koja, trepi/koda;stairway, staircase
diskor, diskori, diskorit;DJ
elasime;we lived
kirjutasin;I wrote
kolima, koli/da, koli/n;to move
kolisime;we moved
kooli lõpetama, kooli lõpeta/da, lõpeta/n kooli;to finish school, to graduate school
kuulsaks saama, kuulsaks saa/da, saa/n kuulsaks;to become famous
laste/koor, laste/koori, laste/koori;children's choir
laulsin;I sung
lihtne, lihtsa, lihtsat;simple
lõpetama, lõpeta/da, lõpeta/n;to finish, to graduate
lõpetasin;I graduated, I finished
Mis aastal sa oled sündinud?;When were you born? (lit on what year)
Mis aastal?;On what year?
Mis koolis sa käisid?;To which school did you attend?
mulle meeldis;I liked
muusika/kool, muusika/kooli, muusika/kooli;music school
samal ajal;at the same time
sündima, sündi/da, sünni/n;be born
sündisin;I was born
tead küll;you know
tsirkus, tsirkuse, tsirkust;circus
tööle tulema, tööle tul/la, tule/n tööle;to come to work
töötasid;you worked, they worked
vana/linn, vana/linna, vana/linna;old town
Väga põnev!;Very exciting!
õppisin;I studied
aitasid;you helped, they helped
ehitasid;you built, they built
Ei ole võimalik!;It's not possible!
hakkasin maja ehitama;I started to build a house
juba lapsena;already as a kid
kolisin oma majja;I moved to my own house
käisin kursustel;I took a course, I attended a course
maaler, maalri, maalrit;house painter
maalriks saada;to become a house painter
müüsin;I sold
päris ise;by yourself
tahtsin;I wanted
andsin süüa;I fed
avama, ava/da, ava/n;to open
avasin;I opened
intervjuu, intervjuu, intervjuud;interview
jätma, jät/ta, jäta/n;to leave
jätsin;I left
Jürikene, Jürikese, Jürikest;Jüri-darling (deminutive of Jüri, male name)
Kalli-kalli!;Lots of hugs!
Kurat!;Damn! (lit Devil!)
käisin poes;I went to the shop
lõppes;stopped
Nii armas!;So sweet!
signalisatsiooni, signalisatsiooni, signalisatsiooni;alarm
sõitsin;I drove
süüa andma, süüa and/a, anna/n süüa;to feed, to give food
vajutama, vajuta/da, ajuta/n;to press
vajutasin;I pressed
ära lõppema, ära lõppe/da, lõpe/b ära;to finish, to stop
arutama, aruta/da, aruta/n;to discuss
kas või;even
keelatud;forbidden
korteri/kuulutus, korteri/kuulutuse, korteri/kuulutust;advertisement (about the apartment)
Kui suur?;How big?
kuulutus, kuulutuse, kuulutust;advertisement
Mitmekesi?;How many of you together?
oli kirjas;was written
remonti tegema, remonti teh/a, tee/n remonti;to renovate, to fix, to repair
saama, saa/da, saa/n;to be allowed to, can,could
sisse kolima, sisse koli/da, koli/n sisse;to move in
suitsetama, suitseta/da, suitseta/n;to smoke
suitsetamine, suitsetamise, suitsetamist;smoking
suitsu/nurk, suitsu/nurga,suitsu/nurka;smoking area
tingima, tingi/da, tingi/n;to bargain the price
vaba, vaba, vaba;free, available, single
võima, või/da, või/n;may, can, to be allowed to
üür, üüri, üüri;rent
üürima, üüri/da, üüri/n;to rent, to let
hoidma, hoid/a, hoia/n;to keep
hundi/koer, hundi/koera, hundi/koera;German shepard
kodu/loom, kodu/looma, kodu/looma;pet, domestic animal
küsimus, küsimuse, küsimust;question
lapse/vanker, lapse/vankri, lapse/vankrit;pram
naaber, naabri, naabrit;neighbour
parkima, parki/da, pargi/n;to park
parkimis/koht, parkimis/koha,parkimis/kohta;parking spot
pidama, pida/da, pea/n;to keep, to have to, must
tasuta;free of charge
visiit/kaart, visiit/kaardi,visiit/kaarti;business card
alla;under
ette;to the front
keskele;in the middle
kitarr, kitarri, kitarri;quitar
kodune, koduse, kodust;cosy
kott, koti, kotti;bag
kukkuma, kukku/da, kuku/n;to fall
kõrvale;to the side
las olla nii, nagu on;let it be as is
muutus, muutuse, muutust;change
panema, pan/na, pane/n;to put
peale;to the topp
pole mõtet;no point
sõna/raamat, sõna/raamatu, sõna/raamatut;dictionary
taha;behind
tõstma, tõst/a, tõsta/n;to lift
äärde;to the side
fotokas, fotoka, fotokat;camera (slang)
Kas oled nõus?;Do you agree?
lina, lina, lina;table cloth, linen, sheet
loll, lolli, lolli;stupid, dumb, mad
Lolliks läksid või?;Have you just gone mad?
lolliks minema, lolliks minn/a, lähe/n lolliks;to go mad, crazy
Ma tegin nalja.;I was joking.
mops, mopsi, mopsi;mobile phone (slang)
